League,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeCorners,AwayCorners,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,AvgHomeOdds,AvgDrawOdds,AvgAwayOdds
I1,2021-02-14,Cagliari,Atalanta,0,1,A,4,10,6,6,6.5,4.75,1.44,6.84,4.81,1.43
I1,2021-02-14,Sampdoria,Fiorentina,2,1,H,7,15,6,7,2.87,3.4,2.45,2.83,3.32,2.52
I1,2021-02-14,Crotone,Sassuolo,1,2,A,9,21,7,8,3.7,3.8,1.9,3.74,3.72,1.95
I1,2021-02-14,Inter,Lazio,3,1,H,11,12,4,0,1.75,3.9,4.5,1.77,3.88,4.41
I1,2021-02-15,Verona,Parma,2,1,H,11,13,4,4,2.0,3.3,4.0,2.02,3.38,3.85
I1,2021-02-19,Fiorentina,Spezia,3,0,H,10,11,0,6,2.0,3.4,3.8,2.02,3.32,3.99
I1,2021-02-19,Cagliari,Torino,0,1,A,18,10,8,3,2.87,3.3,2.45,2.87,3.26,2.56
I1,2021-02-20,Lazio,Sampdoria,1,0,H,11,11,4,5,1.61,4.2,5.0,1.67,4.11,4.87
I1,2021-02-20,Genoa,Verona,2,2,D,12,9,5,1,2.7,3.1,2.8,2.76,3.01,2.82
I1,2021-02-20,Sassuolo,Bologna,1,1,D,32,4,10,6,2.3,3.4,3.1,2.29,3.4,3.15
I1,2021-02-21,Parma,Udinese,2,2,D,15,12,3,2,3.6,3.3,2.1,3.73,3.29,2.09
I1,2021-02-21,Milan,Inter,0,3,A,16,16,7,7,3.6,3.6,2.0,3.61,3.63,2.02
I1,2021-02-21,Atalanta,Napoli,4,2,H,15,5,6,2,1.83,3.8,4.0,1.85,3.85,4.01
I1,2021-02-21,Benevento,Roma,0,0,D,6,14,1,9,5.5,4.5,1.53,5.57,4.46,1.55
I1,2021-02-22,Juventus,Crotone,3,0,H,26,16,7,3,1.16,8.0,15.0,1.16,7.62,17.4
I1,2021-02-27,Spezia,Parma,2,2,D,13,10,8,2,2.37,3.2,3.2,2.4,3.17,3.16
